,input,output
23463,CC(=O)OC(C)C(=O)c1c(C(C)C)nn2ccccc12,CC(=O)[O-].CC(Cl)C(=O)c1c(C(C)C)nn2ccccc12
23464,COC(=O)[C@@H](NC(=O)OC(C)(C)C)c1ccc(O)cc1,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.COC(=O)[C@@H](N)c1ccc(O)cc1
23465,O=S(=O)(c1ccccc1SCc1ccccc1)N1CCOCC1,O=S(=O)(c1ccccc1F)N1CCOCC1.SCc1ccccc1
23466,COC(=O)c1ccc(Cn2c(Nc3ccc(OC)cc3)nc3cc(Cl)c(Cl)cc32)cc1,COC(=O)c1ccc(CBr)cc1.COc1ccc(Nc2nc3cc(Cl)c(Cl)cc3[nH]2)cc1
23467,CC(=O)N(CCCC(=O)c1ccccc1)C(C)C,CC(=O)N(CCCC(O)c1ccccc1)C(C)C
23468,COc1ccc(C#Cc2ccccc2)cc1,C#Cc1ccccc1.COc1ccc(I)cc1
23469,c1ccc(CN2CCC(Nc3nc(NCc4ccccn4)ncc3-c3ccsc3)CC2)cc1,Brc1cnc(NCc2ccccn2)nc1NC1CCN(Cc2ccccc2)CC1.OB(O)c1ccsc1
23470,O=C(COc1ncc(C(=O)Nc2ccc(F)cc2)cn1)OCCC12CC3CC(CC(C3)C1)C2,O=C(O)COc1ncc(C(=O)Nc2ccc(F)cc2)cn1.OCCC12CC3CC(CC(C3)C1)C2
23471,CCOC(=O)C1(NC(=O)c2cccc(C)c2O)Cc2ccccc2C1,CCOC(=O)C1(N)Cc2ccccc2C1.Cc1cccc(C(=O)O)c1O
23472,CC(C)C(=O)N1CCC[C@H]1COc1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)OCCCCCCO[N+](=O)[O-])n2Cc1ccc(Cl)cc1,CC(C)C(=O)N1CCC[C@H]1COc1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1.O=[N+]([O-])OCCCCCCBr
23473,O=C(NS(=O)(=O)C1CC1)c1ccc(CN(Cc2ccccn2)S(=O)(=O)c2ccc(Cl)cc2)cc1,NS(=O)(=O)C1CC1.O=C(O)c1ccc(CN(Cc2ccccn2)S(=O)(=O)c2ccc(Cl)cc2)cc1
23474,O=C(c1ccnc(-c2cccs2)c1)N1CCOCC1,O=C(c1ccnc(-c2cccs2)c1)N1CCCC1.O=C(c1ccnc(Br)c1)N1CCOCC1
23475,COCC(=NO)c1ccc(OC(F)(F)F)c(F)c1,COCC(=O)c1ccc(OC(F)(F)F)c(F)c1.NO
23476,COc1ccc(Cn2cc(I)c(CO)n2)cc1,CCOC(=O)c1nn(Cc2ccc(OC)cc2)cc1I
23477,C=CC(=O)N(C)c1cccc(-n2c(=O)n(-c3ccc(C)c(OC)c3)c3c(N)ncnc32)c1,C=CC(=O)Cl.CNc1cccc(-n2c(=O)n(-c3ccc(C)c(OC)c3)c3c(N)ncnc32)c1
23478,CC(C)(C#N)c1cccc(C(=O)Nc2cccc(N)c2)c1,CC(C)(C#N)c1cccc(C(=O)Nc2cccc([N+](=O)[O-])c2)c1
23479,COC(=O)c1cc(O)c2cc(CCc3ccccc3)cc(OC)c2n1,COC(=O)c1cc(O)c2cc(C#Cc3ccccc3)cc(OC)c2n1
23480,O=S(=O)(Nc1cccc2c(Cl)c[nH]c12)c1ccc(CCCn2ccnc2)cc1,O=S(=O)(Nc1cccc2c(Cl)c[nH]c12)c1ccc(CCCBr)cc1.c1c[nH]cn1
23481,Cc1c(Cl)c(N)cc2c1NC(=O)C2(c1ccc(O)cc1)c1ccc(O)cc1,Cc1c(Cl)c([N+](=O)[O-])cc2c1NC(=O)C2(c1ccc(O)cc1)c1ccc(O)cc1
23482,CSCCC(CN1C(=O)c2ccccc2C1=O)NC(=O)OC(C)(C)C,CSCCC(CO)NC(=O)OC(C)(C)C.O=C1NC(=O)c2ccccc21
23483,Cc1nnc(Cn2nc(C3CC3)c3c([N+](=O)[O-])cccc32)s1,Cc1nnc(Cn2nc(Br)c3c([N+](=O)[O-])cccc32)s1.OB(O)C1CC1
23484,CC(C)(C)OC(=O)N[C@@H]1CCN(CC23CCC(CC2)O3)C1,CC(C)(C)OC(=O)N[C@@H]1CCNC1.ICC12CCC(CC1)O2
23485,BrCc1ncc(C2CC2)cn1,BrC(Br)(Br)Br.OCc1ncc(C2CC2)cn1
23486,Nc1cccc(C(F)(F)F)c1O,O=[N+]([O-])c1cccc(C(F)(F)F)c1O
23487,CC(=O)Nc1nc(Br)ccc1[N+](=O)[O-],CC(=O)O.Nc1nc(Br)ccc1[N+](=O)[O-]
23488,COc1cncc2nc(-c3ccnc(Nc4ccccc4)c3)nc(N3CC[C@H](O)[C@H](O)C3)c12,COc1cncc2nc(-c3ccnc(Cl)c3)nc(N3CC[C@H](O)[C@H](O)C3)c12.Nc1ccccc1
23489,COc1ccc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cnc2NCCCO)cn1,COc1ccc(B(O)O)cn1.O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(NCCCO)c(Br)c1
23490,Cc1ccc2c(c1)C1CN(CCCC#N)CCC1N2,Cc1ccc2c(c1)C1CNCCC1N2.N#CCCCBr
23491,Cc1nc(N)nc(N[C@@H](C)c2nc3ccn(C)c3cc2[C@@H]2CCN(C(=O)OC(C)(C)C)C2)c1C#N,C[C@H](N)c1nc2ccn(C)c2cc1C1CCN(C(=O)OC(C)(C)C)C1.Cc1nc(N)nc(Cl)c1C#N
23492,CCOC(=O)N(CC(=O)O)c1cc(Cl)c(Oc2ccc(O)c(C(C)CC)c2)c(Cl)c1,CCOC(=O)CN(C(=O)OCC)c1cc(Cl)c(Oc2ccc(O)c(C(C)CC)c2)c(Cl)c1
23493,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)nn1,COC(=O)c1cn(Cc2ccc(-c3ccccc3)cc2)nn1
23494,NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](c3ncco3)C[C@H]2CS1,O=C(NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](c3ncco3)C[C@H]2CS1)c1ccccc1
23495,CON(C)C(=O)c1ccc(Cl)cc1Nc1ccccc1,CNOC.O=C(O)c1ccc(Cl)cc1Nc1ccccc1
23496,CC(C)(C)NCC(O)c1cc(F)c(N)c(C#N)c1,CC(C)(C)NCC(=O)c1cc(F)c(N)c(C#N)c1
23497,CN1CCCc2ccc(NC(=O)c3ccc(-c4ccccc4)cc3)cc21,CN1CCCc2ccc(N)cc21.O=C(O)c1ccc(-c2ccccc2)cc1
23498,COCCn1nc(Cl)c2ccccc2c1=O,COCCBr.O=c1[nH]nc(Cl)c2ccccc12
23499,Nc1cccc(NCc2cccc([N+](=O)[O-])c2)c1,CC(C)(C)OC(=O)Nc1cccc(NCc2cccc([N+](=O)[O-])c2)c1
23500,O=C(O)CCc1c[nH]c2cnc(-n3cnnc3)cc12,CCOC(=O)CCc1c[nH]c2cnc(-n3cnnc3)cc12
23501,CCOC(=O)[C@H](CNC(=O)CN)NS(=O)(=O)c1ccccc1,CCOC(=O)[C@H](CNC(=O)CNC(=O)OCc1ccccc1)NS(=O)(=O)c1ccccc1
23502,N#Cc1ccc(Cl)c(O)c1,Oc1cc(Br)ccc1Cl.[C-]#N
23503,CON(C)C(=O)C(C[C@H]1CCC2(C1)O[C@H](c1ccccc1)[C@@H](c1ccccc1)O2)c1ccc(S(C)(=O)=O)c(Cl)c1,CNOC.CS(=O)(=O)c1ccc(C(C[C@H]2CCC3(C2)O[C@H](c2ccccc2)[C@@H](c2ccccc2)O3)C(=O)O)cc1Cl
23504,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=C(O)[C@@H]1CCCN1
23505,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5nc6cnccc6o5)CC4)ccc3C)c(F)c12,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)O)ccc3C)c(F)c12.NC1(c2nc3cnccc3o2)CC1
23506,CCc1[nH]cc(C(N(C)C)C(F)(F)F)c(=O)c1O,CCc1[nH]cc(C(Cl)C(F)(F)F)c(=O)c1O.CNC
23507,CS(=O)(=O)NC1CCCc2ccc([N+](=O)[O-])cc21,CS(=O)(=O)Cl.NC1CCCc2ccc([N+](=O)[O-])cc21
23508,Cn1nccc1-c1cc(NC(=O)c2ccc(F)cc2F)ccc1OCCNC1CCOCC1,Cn1nccc1-c1cc(NC(=O)c2ccc(F)cc2F)ccc1OCCBr.NC1CCOCC1
23509,COC(=O)c1ccc(C(C)(C)C)[nH]1,CC(C)(C)Cl.COC(=O)c1ccc[nH]1
23510,O=c1c(C2=NS(=O)(=O)c3cc(O)ccc3N2)c(O)c2ccccc2n1NC1CCC1,O=c1c(C2=NS(=O)(=O)c3cc(OCc4ccccc4)ccc3N2)c(O)c2ccccc2n1NC1CCC1
23511,CCOC(=O)C[C@H](NC(=O)CN)c1cccnc1,CCOC(=O)C[C@H](NC(=O)CNC(=O)OC(C)(C)C)c1cccnc1
23512,COc1ccc(-c2ccc3cnc(Nc4ccc(C5C(=O)N(C)CCN5C)cc4)nn23)cn1,CN1CCN(C)C(c2ccc(N)cc2)C1=O.COc1ccc(-c2ccc3cnc(OS(=O)(=O)C(F)(F)F)nn23)cn1
23513,CCOc1c(C(F)(F)F)cc(N)cc1C(F)(F)F,CCOc1c(C(F)(F)F)cc([N+](=O)[O-])cc1C(F)(F)F
23514,CCOC(=O)CN(Cc1ccc(OC)cc1OC)Cc1cc(Br)ccc1C(=O)OCC,CCOC(=O)CNCc1ccc(OC)cc1OC.CCOC(=O)c1ccc(Br)cc1CBr
23515,COc1cccc(-c2ccc3c(c2)C2(CCCCC2)C(=NOCc2ccccc2)N3)c1,Brc1ccc2c(c1)C1(CCCCC1)C(=NOCc1ccccc1)N2.COc1cccc(B(O)O)c1
23516,Cc1ccc2cc(N)ccc2n1,Cc1ccc2cc([N+](=O)[O-])ccc2n1
23517,CCS(=O)(=O)NC(=O)c1cnn2c(Nc3ccc(F)cc3C)c(C(=O)N3CCC(c4ccccc4)CC3)cnc12,CCS(N)(=O)=O.Cc1cc(F)ccc1Nc1c(C(=O)N2CCC(c3ccccc3)CC2)cnc2c(C(=O)O)cnn12
23518,COc1ccccc1COCCCOc1ccc([C@H]2CCN(C(=O)OC(C)(C)C)C[C@@H]2OCc2ccc3c(c2)N(CCNS(C)(=O)=O)CCC3)cc1,COc1ccccc1COCCCOc1ccc([C@H]2CCN(C(=O)OC(C)(C)C)C[C@@H]2OCc2ccc3c(c2)N(CCN)CCC3)cc1.CS(=O)(=O)Cl
23519,COC(=O)CC1CC(=O)Nc2ccc(OC)cc21,COC(=O)CC1c2cc(OC)ccc2NC(=O)C1C(=O)OC
23520,c1csc(-c2ccc(Cc3ccc(OC[C@H]4CCCN4)cc3)cc2)n1,CC(C)(C)OC(=O)N1CCC[C@@H]1COc1ccc(Cc2ccc(-c3nccs3)cc2)cc1
23521,CC(=O)c1ccccc1N(C)C(=O)CBr,CNc1ccccc1C(C)=O.O=C(Br)CBr
23522,CCOC(=O)CCCCN1CCOCC1,C1COCCN1.CCOC(=O)CCCCBr
23523,Cc1cccc([C@H]2[C@H](C(=O)Nc3ccc(F)c(F)c3)C2(C)C)c1,Cc1cccc([C@H]2[C@H](C(=O)O)C2(C)C)c1.Nc1ccc(F)c(F)c1
23524,COC[N+]1(C)CCCC1,CN1CCCC1.COCBr
23525,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O
23526,COC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)C=Cc1cc(F)ccc1F,COC(=O)[C@@H](N)Cc1ccc(OC)cc1.O=C(O)C=Cc1cc(F)ccc1F
23527,C=CCOC(=O)[C@@H]1CCNC[C@H]1C(=O)OCC,C=CCOC(=O)[C@@H]1CCN(C(=O)OC(C)(C)C)C[C@H]1C(=O)OCC
23528,CCCCOc1ccc(C=O)cc1C,CCCCBr.Cc1cc(C=O)ccc1O
23529,COC[C@@H]1CNC[C@H](CO)O1,COC[C@@H]1CN(Cc2ccccc2)C[C@H](CO)O1
23530,CCNC(=O)CN(Cc1ccc(Cl)cc1)C1CCNC1,CCNC(=O)CN(Cc1ccc(Cl)cc1)C1CCN(C(=O)OC(C)(C)C)C1
23531,O=CNCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O,NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O.O=CO
23532,O=C(NCc1cc(F)c(N2CCOCC2)c(F)c1)Nc1cccc2cnccc12,NCc1cc(F)c(N2CCOCC2)c(F)c1.O=C=Nc1cccc2cnccc12
23533,CCCCOc1cc(CCC(=O)O)ccc1CCCc1ccc(OCCCC)c(OC)c1,CCCCOc1cc(CCC(=O)OC)ccc1CCCc1ccc(OCCCC)c(OC)c1
23534,COC1(c2cc(F)cc(F)c2)CCN(C(C)C)C1,CC(C)Br.COC1(c2cc(F)cc(F)c2)CCNC1
23535,CCOC(=O)C12CCC(NCc3ccccc3)(CC1)CC2OS(C)(=O)=O,CCOC(=O)C12CCC(NCc3ccccc3)(CC1)CC2O.CS(=O)(=O)Cl
23536,COC(=O)c1ccc(CN(Cc2cc(Br)ccc2OCc2ccccc2)c2ccc(C(=O)OC(C)(C)C)cc2)cc1,CC(C)(C)OC(=O)c1ccc(NCc2cc(Br)ccc2OCc2ccccc2)cc1.COC(=O)c1ccc(CBr)cc1
23537,COc1ccc2cc(C(=O)NCc3ccc(Cl)c(Oc4cc(Cl)cc(C#N)c4)c3)[nH]c2c1,COC(=O)c1cc2ccc(OC)cc2[nH]1.N#Cc1cc(Cl)cc(Oc2cc(CN)ccc2Cl)c1
23538,CC(=O)Oc1cc2c(cc1S(C)(=O)=O)CCNCC2,CC(=O)Br.CS(=O)(=O)c1cc2c(cc1O)CCNCC2
23539,CN(C)C(=O)c1cc2cc(NS(=O)(=O)c3cc(Cl)cc(Cl)c3)ccc2[nH]1,CNC.O=C(O)c1cc2cc(NS(=O)(=O)c3cc(Cl)cc(Cl)c3)ccc2[nH]1
23540,CC[C@H](CO)Nc1nc(-c2cc(O)cc(Cl)c2)c2c(N)c(C(N)=O)sc2n1,CC[C@H](CO)Nc1nc(-c2cc(Cl)cc(OC)c2)c2c(N)c(C(N)=O)sc2n1
23541,CCN(CC)CCCCOc1ccc2c(-c3ccc(C(F)(F)F)cc3)nsc2c1,CCNCC.FC(F)(F)c1ccc(-c2nsc3cc(OCCCCBr)ccc23)cc1
23542,COc1ccc(C2=NN(CCCCOc3ccc(C4=NNC(=O)CC4C)cc3)C(=O)CC2C)c2ccc(C)nc12,CC1CC(=O)NN=C1c1ccc(O)cc1.COc1ccc(C2=NN(CCCCBr)C(=O)CC2C)c2ccc(C)nc12
23543,CC(C)(C)OC(=O)N1CCN(c2ncc(Br)cc2Br)CC1,Brc1cnc(Br)c(Br)c1.CC(C)(C)OC(=O)N1CCNCC1
23544,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,CCCCC(=O)OC(=O)CCCC
23545,O=S(=O)(NCc1ccnc2ccccc12)c1ccc(-c2ccc(Cl)cc2)s1,O=S(=O)(NCc1ccnc2ccccc12)c1ccc(Br)s1.OB(O)c1ccc(Cl)cc1
23546,COC[C@@H](N)C(=O)N(Cc1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccccc1,CI.N[C@H](CO)C(=O)N(Cc1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccccc1
23547,CCCC(=O)Nc1n[nH]c2cc(C(F)(F)F)ccc12,CCCC(=O)Cl.Nc1n[nH]c2cc(C(F)(F)F)ccc12
23548,O=C(c1ccccc1)c1ccccc1,OC(c1ccccc1)c1ccccc1
23549,CC(C)OC(=O)C1CCCCC1,Cc1ccc(S(=O)(=O)O)cc1.O=C(O)C1CCCCC1
23550,Cc1cc(-c2cccc(C(=O)CC(=O)Nc3cc(C#N)c(N4CCCCC4)cc3NC(=O)OC(C)(C)C)c2)on1,CC(C)(C)OC(=O)Nc1cc(N2CCCCC2)c(C#N)cc1N.Cc1cc(-c2cccc(C(=O)CC(=O)OC(C)(C)C)c2)on1
23551,CC(C)n1c(=O)n(-c2ccc(O)cc2)c2ncc(Cl)cc21,CC(C)n1c(=O)n(-c2ccc(OCc3ccccc3)cc2)c2ncc(Cl)cc21
23552,CCOC(=O)CC1CC[C@H](c2ccc(N)cc2)C1,CCOC(=O)C=C1CC[C@H](c2ccc(N)cc2)C1
23553,O=C(N(CCO)Cc1ccccc1)C(F)(F)F,CCOC(=O)C(F)(F)F.OCCNCc1ccccc1
23554,CCOc1cc(CNc2ncc(I)cc2N)ccc1OCc1ccc(OC)nc1,CCOc1cc(CNc2ncc(I)cc2[N+](=O)[O-])ccc1OCc1ccc(OC)nc1
23555,COC(=O)c1cccn1[Si](C(C)C)(C(C)C)C(C)C,COC(=O)c1cc(I)cn1[Si](C(C)C)(C(C)C)C(C)C
23556,CC(C)c1nnc2ccc(CC(=NN3CCCC3=O)c3ccc(F)cc3F)nn12,CC(C)c1nnc2ccc(CC(=O)c3ccc(F)cc3F)nn12.NN1CCCC1=O
23557,COC1(OC)CCOC[C@@H]1O,COC1(OC)CCOCC1=O
23558,CCN(CC1CCCC1)c1ncc(/C=C/C(=O)OC)cc1CN(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnn(C)n1,C=CC(=O)OC.CCN(CC1CCCC1)c1ncc(Br)cc1CN(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnn(C)n1
23559,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C)c3)cn2CCN2CCC2)CC1,CCc1c(N)ncnc1Cl.Cc1cc(-c2cn(CCN3CCC3)c(C3CCNCC3)n2)ccc1F
23560,CCOC(=O)c1sc(N2CC[C@H](NC(=O)c3nc(Cl)c(CC)[nH]3)C2)nc1C,CCOC(=O)c1sc(N2CC[C@H](N)C2)nc1C.CCc1[nH]c(C(=O)O)nc1Cl
23561,COc1ccc(C=CC(=O)NN=CC=Cc2ccc([N+](=O)[O-])o2)cn1,COc1ccc(C=CC(=O)NN)cn1.O=CC=Cc1ccc([N+](=O)[O-])o1
23562,O=C(O)Cc1nn(C(c2ccccn2)c2ncno2)c(=O)c2ccccc12,CCOC(=O)Cc1nn(C(c2ccccn2)c2ncno2)c(=O)c2ccccc12
23563,CN(C(=O)C(C)(C)Nc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1ccc(-c2ccccc2)cc1,CC(C)(Nc1ccc(Cl)c(Cl)c1)C(=O)O.CNC(CN1CCCC1)c1ccc(-c2ccccc2)cc1
23564,O=C1C(=O)N(Cc2ccc(C(F)(F)F)o2)c2cc3c(cc21)OCCO3,FC(F)(F)c1ccc(CBr)o1.O=C1Nc2cc3c(cc2C1=O)OCCO3
23565,CC(C)(C)OC(=O)N(Cc1ccccc1)[C@@H](Cc1ccc2ccccc2c1)C(=O)OCc1ccccc1,BrCc1ccccc1.CC(C)(C)OC(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)OCc1ccccc1
23566,CCOC(=O)CC1CCCc2cc(OC)ccc21,CCOC(=O)C=C1CCCc2cc(OC)ccc21
23567,CC(=NO)c1cccnc1,CC(=O)c1cccnc1.NO
23568,C[C@@H](NC(=O)[C@H]1C[C@@H]1c1ccc(OCC(=O)OC(C)(C)C)cc1)c1ccc(OCC(F)(F)F)cn1,CC(C)(C)OC(=O)CBr.C[C@@H](NC(=O)[C@H]1C[C@@H]1c1ccc(O)cc1)c1ccc(OCC(F)(F)F)cn1
23569,CCCCOc1cc(C(=O)OC)ccc1[N+](=O)[O-],CCCCOc1cc(C(=O)O)ccc1[N+](=O)[O-].CO
23570,COc1cccc(C=C2SC(=S)NC2=O)c1C(=O)O,COc1cccc(C=O)c1C(=O)O.O=C1CSC(=S)N1
23571,CC(C)(C)OC(=O)N[C@H](Cc1ccc(O)cc1)C(=O)Nc1cc2[nH]c(-c3ccccc3)c3cn[nH]c(=O)c(c1)c23,CC(C)(C)OC(=O)N[C@H](Cc1ccc(O)cc1)C(=O)O.Nc1cc2[nH]c(-c3ccccc3)c3cn[nH]c(=O)c(c1)c23
23572,O=[N+]([O-])OCC(CCCO)O[N+](=O)[O-],CC(=O)OCCCC(CO[N+](=O)[O-])O[N+](=O)[O-]
23573,CC(C)CC(C(=O)O)N1C(=O)Cc2ccccc21,CC(C)CC(C(=O)O)N1C(=O)C(=O)c2ccccc21
23574,CCOc1cc(NC(C)=O)nc2ccc(Br)cc12,CC(=O)Nc1cc(O)c2cc(Br)ccc2n1.CCI
23575,O=C1CC2(C(=O)N1)C(=O)N(Cc1ccc(Cl)c(Cl)c1)c1ccccc12,ClCc1ccc(Cl)c(Cl)c1.O=C1CC2(C(=O)N1)C(=O)Nc1ccccc12
23576,Cc1nn(C)c(C)c1-c1cccc(-n2c(N)nc3ccccc32)c1,Cc1nn(C)c(C)c1Br.Nc1nc2ccccc2n1-c1cccc(B2OCCCO2)c1
23577,CS(=O)(=O)OCc1ccc(C2(O)COC2)cc1,CS(=O)(=O)Cl.OCc1ccc(C2(O)COC2)cc1
23578,CCc1cncc2cccc(O[C@H]3CC[C@H](N)CC3)c12,CCc1cncc2cccc(O[C@H]3CC[C@H](NC(=O)OC(C)(C)C)CC3)c12
23579,COc1cc(N)cc(-c2ccsc2)c1,COc1cc(-c2ccsc2)cc([N+](=O)[O-])c1
23580,CC(C)(C)OC(=O)N1CCC(Oc2cc(-c3ccc(Cl)cc3)ccc2C(=O)O)CC1,COC(=O)c1ccc(-c2ccc(Cl)cc2)cc1OC1CCN(C(=O)OC(C)(C)C)CC1
23581,Cc1cc(Oc2ccccc2)cc(O)c1C=O,COc1cc(Oc2ccccc2)cc(C)c1C=O
23582,Cc1ncc(C(=O)N(C)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(-c2ccccc2)n1,CI.Cc1ncc(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(-c2ccccc2)n1
23583,COC(=O)c1ccc(CCc2cccc3c2N(S(=O)(=O)c2cccc(OC)c2)CC3)cc1,COC(=O)c1ccc(CCc2cccc3c2NCC3)cc1.COc1cccc(S(=O)(=O)Cl)c1
23584,CC(C)(C)OC(=O)N[C@H]1CCCN(Cc2ccc(C(=O)O)cc2OC(F)(F)F)C1,CCOC(=O)c1ccc(CN2CCC[C@H](NC(=O)OC(C)(C)C)C2)c(OC(F)(F)F)c1
23585,CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc2cc(C(=O)O)nn2c1-c1ccc2c(c1Cl)NCCO2,CCOC(=O)c1cc2nc(C)c([C@H](OC(C)(C)C)C(=O)OCC)c(-c3ccc4c(c3Cl)NCCO4)n2n1
23586,O=C(c1ccc(OCCCBr)cc1)C1CC1,BrCCCBr.O=C(c1ccc(O)cc1)C1CC1
23587,O=C(O)C(F)(F)F,CC(=O)c1ccc(Cl)c(-c2cccc(NC(=O)[C@@H]3C[C@@H](F)CN3C(=O)OC(C)(C)C)c2F)c1
23588,CC(C)c1cccnc1N,CC(C)(O)c1cccnc1N
23589,COc1ccc2c(c1)c(CC(C)CC(N)=O)c(C)n2Cc1ccc(Br)cc1,CN(C)C=O.COc1ccc2c(c1)c(CC(C)CC(=O)O)c(C)n2Cc1ccc(Br)cc1
23590,Cc1nn(C(C)c2cc(Cl)c(C#N)c3c2OCCN(CCO)C3)c2ncnc(N)c12,Cc1nn(C(C)c2cc(Cl)c(C#N)c3c2OCCNC3)c2ncnc(N)c12.OCCBr
23591,COC(=O)C(=O)N(CCCNC(=O)OCc1ccccc1)c1ccccc1C(=O)CCC1CCN(C(=O)OC(C)(C)C)CC1,CC(C)(C)OC(=O)N1CCC(CCC(=O)c2ccccc2NCCCNC(=O)OCc2ccccc2)CC1.COC(=O)C(=O)Cl
23592,O=C(Nc1cccnc1N1CCNCC1)C(F)(F)F,O=C(OCc1ccccc1)N1CCN(c2ncccc2NC(=O)C(F)(F)F)CC1
23593,CCc1cccc(-c2c(Cl)cccc2NCCCCOC)c1,CCc1cccc(-c2c(Cl)cccc2Br)c1.COCCCCN
23594,COc1ccc2c(c1)CC(C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1)CC2,COc1ccc2c(c1)CC(C(=O)O)CC2.Nc1ccc(Cl)c(C(F)(F)F)c1
23595,CN(C)Cc1c(OCc2ccc(C#N)cc2)ccc2c(CCC3CCNCC3)noc12,CN(C)Cc1c(OCc2ccc(C#N)cc2)ccc2c(CCC3CCN(C(=O)OC(C)(C)C)CC3)noc12
23596,CCOC(=O)c1cc2ccc(C(C)N)cc2s1,CCOC(=O)c1cc2ccc(C(C)N=[N+]=[N-])cc2s1
23597,O=C(C=Cc1cccc([N+](=O)[O-])c1)Oc1cccc([N+](=O)[O-])c1,O=C(Cl)C=Cc1cccc([N+](=O)[O-])c1.O=[N+]([O-])c1cccc(O)c1
23598,N#Cc1ccc(CONC(=O)c2ccccc2NCc2ccnc(NC(=O)NCC(=O)O)c2)cc1,CCOC(=O)CNC(=O)Nc1cc(CNc2ccccc2C(=O)NOCc2ccc(C#N)cc2)ccn1
23599,COc1cccc(OC)c1O,COc1cccc(OC)c1OC
23600,CS(=O)(=O)c1nn(Cc2nc3cc(Cl)cc(F)c3n2CCC(F)(F)F)c2cnccc12,CS(=O)(=O)c1n[nH]c2cnccc12.Fc1cc(Cl)cc2nc(CCl)n(CCC(F)(F)F)c12
23601,Cc1ccc(N2C(=O)c3cccc4c(Nc5ccc6c7c(cc(=O)n6C)-c6ccccc6C(=O)c57)ccc(c34)C2=O)c(C)c1,Cc1ccc(N2C(=O)c3cccc4c(N)ccc(c34)C2=O)c(C)c1.Cn1c(=O)cc2c3c(c(Br)ccc31)C(=O)c1ccccc1-2
23602,O=C(Nc1cc(-c2ccccc2)ccc1C(=O)O)c1cc(C2CCN(CCO)CC2)ccc1O,COC(=O)c1ccc(-c2ccccc2)cc1NC(=O)c1cc(C2CCN(CCO)CC2)ccc1O
23603,COc1c(C(F)(F)F)cc([N+](=O)[O-])c(NN(C)C)c1[N+](=O)[O-],CN(C)Nc1c([N+](=O)[O-])cc(C(F)(F)F)c(Cl)c1[N+](=O)[O-].C[O-]
23604,Cc1c(C)c(C(C)(C)C)c(C)c2c1OC(C)(CCO)C(O[SiH](C)C)C2,COC(=O)CC1(C)Oc2c(C)c(C)c(C(C)(C)C)c(C)c2CC1O[SiH](C)C
23605,COCCN1CCN(N2C(=O)S/C(=C\c3ccc4c(cnn4Cc4ccc(Cl)cc4C(F)(F)F)c3)C2=O)CC1,COCCBr.O=C1S/C(=C\c2ccc3c(cnn3Cc3ccc(Cl)cc3C(F)(F)F)c2)C(=O)N1N1CCNCC1
23606,CCNC(=O)Cc1ccsc1-c1ccc(Cl)cc1,CCN.O=C(O)Cc1ccsc1-c1ccc(Cl)cc1
23607,Cc1cccc(C2=NCCN2C)c1N,Cc1cccc(C2=NCCN2C)c1[N+](=O)[O-]
23608,CC(C)(C)OC(=O)NNC(=O)Cc1ccc(C#Cc2csc(C3CCN(C(=O)OC(C)(C)C)CC3)n2)cc1,C#Cc1csc(C2CCN(C(=O)OC(C)(C)C)CC2)n1.CC(C)(C)OC(=O)NNC(=O)Cc1ccc(Br)cc1
